source,s_attribute,s_id,s_artist,target,t_attribute,t_id,t_artist,value,s_tags,t_tags
Scream,song,TRAAAAK128F9318786,Adelitas Way,Dirty Little Thing,song,TRZNRZF128F9318787,Adelitas Way,1.0,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['rock', '40'], ['adelitas way', '40'], ['sex', '20'], ['sex songs', '20'], ['aggressive rock', '20'], ['dirty little thing', '20'], ['heaths favs', '20']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Hate Love,song,TRRJFIC128F931879D,Adelitas Way,0.966398,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['adelitas way', '100'], ['alternative rock', '54'], ['post-grunge', '27'], ['Discoverockult', '18'], ['Driving Songs', '18'], ['epic xD', '9'], ['5', '9'], ['bob', '9'], ['great song', '9'], ['00s', '9'], ['add', '9'], ['Tag', '9'], ['modern rock', '9'], ['hard rock', '9'], ['Love', '9'], ['rock', '9'], ['nice', '9'], ['lj', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Adelitas Way,artist,N/A,N/A,1.0,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]",N/A
Adelitas Way,artist,N/A,N/A,Scream,song,TRAAAAK128F9318786,Adelitas Way,1.0,N/A,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]"
Dirty Little Thing,song,TRZNRZF128F9318787,Adelitas Way,Adelitas Way,artist,N/A,N/A,1.0,"[['alternative rock', '100'], ['rock', '40'], ['adelitas way', '40'], ['sex', '20'], ['sex songs', '20'], ['aggressive rock', '20'], ['dirty little thing', '20'], ['heaths favs', '20']]",N/A
Adelitas Way,artist,N/A,N/A,Dirty Little Thing,song,TRZNRZF128F9318787,Adelitas Way,1.0,N/A,"[['alternative rock', '100'], ['rock', '40'], ['adelitas way', '40'], ['sex', '20'], ['sex songs', '20'], ['aggressive rock', '20'], ['dirty little thing', '20'], ['heaths favs', '20']]"
Hate Love,song,TRRJFIC128F931879D,Adelitas Way,Adelitas Way,artist,N/A,N/A,1.0,"[['adelitas way', '100'], ['alternative rock', '54'], ['post-grunge', '27'], ['Discoverockult', '18'], ['Driving Songs', '18'], ['epic xD', '9'], ['5', '9'], ['bob', '9'], ['great song', '9'], ['00s', '9'], ['add', '9'], ['Tag', '9'], ['modern rock', '9'], ['hard rock', '9'], ['Love', '9'], ['rock', '9'], ['nice', '9'], ['lj', '0']]",N/A
Adelitas Way,artist,N/A,N/A,Hate Love,song,TRRJFIC128F931879D,Adelitas Way,1.0,N/A,"[['adelitas way', '100'], ['alternative rock', '54'], ['post-grunge', '27'], ['Discoverockult', '18'], ['Driving Songs', '18'], ['epic xD', '9'], ['5', '9'], ['bob', '9'], ['great song', '9'], ['00s', '9'], ['add', '9'], ['Tag', '9'], ['modern rock', '9'], ['hard rock', '9'], ['Love', '9'], ['rock', '9'], ['nice', '9'], ['lj', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Survive,song,TRQYGQT128F9318777,Sick Puppies,0.157267,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '87'], ['alternative', '50'], ['nice', '25'], ['00s', '25'], ['positive', '12'], ['favs', '12'], ['5', '12'], ['Discoverockult', '12'], ['driller', '12'], ['The Madeleine Haze', '12']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,In God's Eyes,song,TROLOPS128F426E353,Saving Abel,0.11712,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['hard rock', '85'], ['alternative', '85'], ['alternative rock', '85'], ['Post Grunge', '42'], ['Saving Abel', '28'], ['modern rock', '14'], ['Godlike', '14'], ['interesting', '14'], ['genial', '14'], ['Not Half Bad', '14'], ['newrocktrackradio:-9', '14'], ['Tag', '0'], ['lift', '0']]"
