song,artist
Je Sais Que La Terre Est Plate,Raphaël
On Efface,Julie Zenatti
Howells Delight,The Baltimore Consort
Martha Served,I Hate Sally
Zip-A-Dee-Doo-Dah (Song of the South),Orlando Pops Orchestra
Liquid Time (composition by John Goodsall),Brand X
Misery Path (From the Privilege of Evil),Amorphis
Nuovi Re pt. I I (feat. Tek money - Lady Tambler),Inoki
Halloween,Dead Kennedys
Parto em terras distantes,Brigada Victor Jara
You Eclipsed By Me (Album Version),Atreyu
Shovel,Mistress
What Drives The Weak,Shadows Fall
Life Force,Vanessa Daou
The Dance Of Europe,Dave Brockie Experience
Spoonie Is Back,Spoonie Gee
Blood Round Dance Song (World),R. Carlos Nakai
Crawling (Album Version),Linkin Park
Bennie,Koffi Olomidé
Playa del sous-sol,Alain-François
Fascinating Rhythm (Instrumental) (2007 Digital Remaster),Billy May & His Orchestra
I'm Not Moving,Phil Collins
Grand Frère,Philippe Sarde
Up Above My Head,Sister Rosetta Tharpe & Marie
Columbia,Oasis
Radar For Love,Kiss
Antarctica Starts Here,John Cale
Out In The Street (Live) (2008 Digital Remaster),UFO
Heavy On My Mind (Album Version),Back Door Slam
Everyone make love,Cool cavemen
Calm Da Seas,Dave Hollister
Ran Kan Kan,Nestor Torres
I Found You,The Impressions
Afraid Of Change (Tribal Vocal Mix),Casa Bulga
Grow Up_ Grow Old,Debbie Davies
Walk Away From Love,Willie Clayton
Rainbow Country (Red Gold And Green Version),Bob Marley & The Wailers
Strange Things,Tanto Metro & Devonte
Screamin' & Hollerin' The Blues,Alvin Youngblood Hart
Dholna Dholna,Naseebo Lal
Parchman Farm,Hot Tuna
A Lo Clasico,Daddy Yankee
Zhi Xiang Ni hui Yi,Hacken Lee
Amaze,Jimmy Riley
Radio Rape,The Cortinas
Ain't No Game,Masta Ace Incorporated
Cavaleiro De Aruanda,Jongo Trio
TELL ME WHY,George Nooks
Czwarty,Energy
Washington Post (1998 Digital Remaster),Felix Slatkin/Concert Arts Symphonic Band
No Pienses Asi,Eddie Palmieri
Cavalleria Rusticana,William Orbit
Forever,Chris Brown
Amor a Medias,HA-ASH
15 Step,Radiohead
I Love Your Way,Kashief Lindo
Lookin' For Me Somewhere,BoDeans
Raise Your Hands,Bon Jovi
Rainbow Dance,John Tchicai
Champagne & Reefer,Bongzilla
No More Doggin',Otis Spann
I Need a Veggie,John Holt
Get Happy,Danny Wilson
I'll Wait for You Dear,Al Dexter
From Afar (Album Version),Van Halen
Cry For Love,Capleton
Uncle B.S. - 1963,Tim Wilson
Wohär dr Wind wäiht,Kisha
Volumatic Spacer Device,The Chap
Putt Jhatt Da Gulabi Phull Varga,DJ Vix
Namibia,Ziggy Marley And The Melody Makers
Unlearn,Crematorium
Vargbrodern Talar,Månegarm
Sweet Lady,Ernest Ranglin / Floyd Lloyd
Forever,Franco
3,Britney Spears
Sleuthing,Danny Elfman
Meet Me in the City,Junior Kimbrough
Drama  (LP Version),Liquid Gang
Oh What A Feeling,Everly Brothers
So hell mit Klause Duo,Flowin Immo et Les Freaqz
Concerto For Saxophone (Quartet Version): Movement IV,Philip Glass
Llama y Verás,Luis Alberto Spinetta
Heyya Heyya,Ramy Ayach
Misty Valley,Frank Chacksfield & His Orchestra
Sehnsuchtsexpress,Frl.Menke
Come Alive,Agnostic Front
Spitting Games,Snow Patrol
Drones,Rise Against
Do Your Will (Album Version),The Rance Allen Group
Check the bomb,Refractory
System of Play,Theodor Zox
Trying To Get To Heaven,Bob Dylan
Birch,Maximilian Hecker
