song_name,song_id,artist_name,artist_id
Je Sais Que La Terre Est Plate,,Raphaël,
On Efface,,Julie Zenatti,
Howells Delight,,The Baltimore Consort,
Martha Served,3T7XFffEVFl76njTFOKSsL,I Hate Sally,4TsZ61aAZiOqAPoX0xevDu
Zip-A-Dee-Doo-Dah (Song of the South),5VKlSohlApanCSQ1YHA1xq,Orlando Pops Orchestra,5XH7RieKeVpt2zcr1yOMaS
Liquid Time (composition by John Goodsall),,Brand X,
Misery Path (From the Privilege of Evil),,Amorphis,
Nuovi Re pt. I I (feat. Tek money - Lady Tambler),,Inoki,
Halloween,4QL6epCx6rlUbDG4TF3sj9,Dead Kennedys,30U8fYtiNpeA5KH6H87QUV
Parto em terras distantes,,Brigada Victor Jara,
You Eclipsed By Me (Album Version),,Atreyu,
Shovel,,Mistress,
What Drives The Weak,,Shadows Fall,
Life Force,164TVSjQWkungz9WkJpJ7b,Vanessa Daou,0r13pf5aRSEWKl7m7qMXXT
The Dance Of Europe,4MBbVTEv2jdJwfgaR1UBxT,Dave Brockie Experience,1siVccYZR8N2O4mEZflCpC
Spoonie Is Back,1vGCzsxGZkEnpg6s4yzA3R,Spoonie Gee,33xY3kRRRiPLsDjnfE3Lpw
Blood Round Dance Song (World),,R. Carlos Nakai,
Crawling (Album Version),,Linkin Park,
Bennie,,Koffi Olomidé,
Playa del sous-sol,15wlrsiFhnEhuDVYM3GqJq,Alain-François,0v10CryjWGuxpAa7FhLvLv
Fascinating Rhythm (Instrumental) (2007 Digital Remaster),,Billy May & His Orchestra,
I'm Not Moving,,Phil Collins,
Grand Frère,,Philippe Sarde,
Up Above My Head,,Sister Rosetta Tharpe & Marie,
Columbia,3UNjVOeuOZMaZ3tCewkBoD,Oasis,2DaxqgrOhkeH0fpeiQq2f4
Radar For Love,,Kiss,
Antarctica Starts Here,2l0Bye8zQItfBm8kWd2F0H,John Cale,5MWBg16f5UYiaSlyVhzlIW
Out In The Street (Live) (2008 Digital Remaster),,UFO,
Heavy On My Mind (Album Version),,Back Door Slam,
Everyone make love,,Cool cavemen,
Calm Da Seas,5rzpKPELr6IKTKVcKqLhPt,Dave Hollister,5Z1reBuaReg2pg72I2mnMm
Ran Kan Kan,,Nestor Torres,
I Found You,,The Impressions,
Afraid Of Change (Tribal Vocal Mix),,Casa Bulga,
Grow Up_ Grow Old,,Debbie Davies,
Walk Away From Love,6Wiqv0jLWkUnQqRHa2QR7V,Willie Clayton,5YtfmlJnLT6TR7kiBKqNhj
Rainbow Country (Red Gold And Green Version),,Bob Marley & The Wailers,
Strange Things,4PtnUQgXnNZ5pBVcRf90yy,Tanto Metro & Devonte,4mVpYIVAOE8sEdYuL8HDpd
Screamin' & Hollerin' The Blues,2gNRI7acewuIqkjIiBOt4B,Alvin Youngblood Hart,1pmIo6ASaJG24wmYoyxjwG
Dholna Dholna,4JgOO0g51r424zi2emvknA,Naseebo Lal,4sAweKU7CjDZ1bUEb6VF6a
Parchman Farm,2y7rb9QckBAUCmQySC7dpG,Hot Tuna,5tOrTQaBRD5yPHqbEwsRn7
A Lo Clasico,,Daddy Yankee,
Zhi Xiang Ni hui Yi,,Hacken Lee,
Amaze,6ZvtWOXpmmvKxBxCngpmXv,Jimmy Riley,30ab9kzEA26zJbWokBNGRs
Radio Rape,5ihRh3c9AllrDm9TYENIyy,The Cortinas,05KReEfZQ1BprHcUudUGLy
Ain't No Game,,Masta Ace Incorporated,
Cavaleiro De Aruanda,,Jongo Trio,
