song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Je Sais Que La Terre Est Plate,Raphaël,,,,,,,,,,,,,
On Efface,Julie Zenatti,,,,,,,,,,,,,
Howells Delight,The Baltimore Consort,,,,,,,,,,,,,
Martha Served,I Hate Sally,0.192,0.987,1,-5.382,1,0.111,1.06e-05,0.681,0.818,0.202,103.886,138760,4
Zip-A-Dee-Doo-Dah (Song of the South),Orlando Pops Orchestra,0.282,0.195,10,-16.292,1,0.0373,0.923,0.546,0.122,0.277,119.205,199987,4
Liquid Time (composition by John Goodsall),Brand X,,,,,,,,,,,,,
Misery Path (From the Privilege of Evil),Amorphis,,,,,,,,,,,,,
Nuovi Re pt. I I (feat. Tek money - Lady Tambler),Inoki,,,,,,,,,,,,,
Halloween,Dead Kennedys,0.236,0.964,0,-4.993,1,0.0935,0.00115,1.93e-06,0.125,0.764,185.157,215179,4
Parto em terras distantes,Brigada Victor Jara,,,,,,,,,,,,,
You Eclipsed By Me (Album Version),Atreyu,,,,,,,,,,,,,
Shovel,Mistress,,,,,,,,,,,,,
What Drives The Weak,Shadows Fall,,,,,,,,,,,,,
Life Force,Vanessa Daou,0.507,0.125,2,-19.225,1,0.0384,0.11,0.334,0.109,0.0777,80.19,232947,4
The Dance Of Europe,Dave Brockie Experience,0.627,0.917,1,-2.719,0,0.0699,0.00697,0.00127,0.0652,0.706,149.963,136733,4
Spoonie Is Back,Spoonie Gee,0.856,0.884,1,-8.181,1,0.097,0.0277,0,0.0544,0.684,101.585,391373,4
Blood Round Dance Song (World),R. Carlos Nakai,,,,,,,,,,,,,
Crawling (Album Version),Linkin Park,,,,,,,,,,,,,
Bennie,Koffi Olomidé,,,,,,,,,,,,,
Playa del sous-sol,Alain-François,0.749,0.854,4,-5.034,1,0.0755,0.174,0,0.234,0.871,108.011,172307,4
Fascinating Rhythm (Instrumental) (2007 Digital Remaster),Billy May & His Orchestra,,,,,,,,,,,,,
I'm Not Moving,Phil Collins,,,,,,,,,,,,,
Grand Frère,Philippe Sarde,,,,,,,,,,,,,
Up Above My Head,Sister Rosetta Tharpe & Marie,,,,,,,,,,,,,
Columbia,Oasis,0.329,0.855,7,-4.435,1,0.0493,1.91e-06,0.775,0.356,0.0485,100.104,377000,4
Radar For Love,Kiss,,,,,,,,,,,,,
Antarctica Starts Here,John Cale,0.365,0.106,5,-19.62,1,0.0355,0.93,0.858,0.142,0.0599,138.764,166893,4
Out In The Street (Live) (2008 Digital Remaster),UFO,,,,,,,,,,,,,
Heavy On My Mind (Album Version),Back Door Slam,,,,,,,,,,,,,
Everyone make love,Cool cavemen,,,,,,,,,,,,,
Calm Da Seas,Dave Hollister,0.589,0.554,11,-5.228,1,0.0275,0.322,0,0.196,0.165,118.03,258173,4
Ran Kan Kan,Nestor Torres,,,,,,,,,,,,,
I Found You,The Impressions,,,,,,,,,,,,,
Afraid Of Change (Tribal Vocal Mix),Casa Bulga,,,,,,,,,,,,,
Grow Up_ Grow Old,Debbie Davies,,,,,,,,,,,,,
Walk Away From Love,Willie Clayton,0.683,0.718,10,-3.23,1,0.0424,0.243,0,0.0595,0.896,105.878,256166,4
Rainbow Country (Red Gold And Green Version),Bob Marley & The Wailers,,,,,,,,,,,,,
Strange Things,Tanto Metro & Devonte,0.801,0.724,11,-6.571,1,0.0614,0.0197,0,0.0507,0.695,104.489,158200,4
