source,s_artist,target,t_artist,value,s_tags,t_tags
Shape of You,Ed Sheeran,Castle on the Hill,Ed Sheeran,0.1,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Shape of You,Ed Sheeran,Don't,Ed Sheeran,0.2,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Castle on the Hill,Ed Sheeran,Don't,Ed Sheeran,0.2,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Don't Start Now,Dua Lipa,Levitating,Dua Lipa,1,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Don't Start Now,Dua Lipa,Physical,Dua Lipa,0.6,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Don't Start Now,Dua Lipa,Love Again,Dua Lipa,0.5,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Don't Start Now,Dua Lipa,New Rules,Dua Lipa,0.78,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Levitating,Dua Lipa,Physical,Dua Lipa,0.33,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Levitating,Dua Lipa,Love Again,Dua Lipa,0.2,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Levitating,Dua Lipa,New Rules,Dua Lipa,0.1,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Physical,Dua Lipa,Love Again,Dua Lipa,0.55,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Physical,Dua Lipa,New Rules,Dua Lipa,0.78,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Blinding Lights,Kanye,Heartless,Kanye,0.56,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
Locked Out of Heaven,Bruno Mars,Treasure,Bruno Mars,0.12,"[['tag2', '100'], ['tag1', '80']]","[['tag1', '90'], ['tag1', '60']]"
Love Again,Dua Lipa,New Rules,Dua Lipa,0.9,"[['tag1', '100'], ['tag2', '80']]","[['tag1', '90'], ['tag1', '60']]"
